Title;Rate;Money
Jurassic World Fallen Kingdom;6.1;417,719,760
Minions;6.4;336,045,770
Jurassic World;6.9;653,406,625
Suits;8.4;N/A
Chicago Med;7.6;N/A
Chicago P.D;8.1;N/A
Chicago Fire;8.0;N/A
La ley del deseo;7.1;72,442
Mujeres al borde de un ataque de nervios;7.5;7,251,740
Atame;7.0;4,087,361
Tacones lejanos;7.0;1,710,057
Carne trémula;7.3;1,785,901
Todo sobre mi madre;7.8;8,344,738
Hable con ella;7.9;9,357,911
La mala educación;7.4;5,284,284
Volver;7.6;12,899,867
Los abrazos rotos;7.2;5,014,305
La piel que habito;7.6;3,185,812
Lo que de verdad importa;6.4;N/A
Tiger;7.8;N/A
New Amsterdam;8.0;N/A
Dr House;8.7;N/A
The Office;9.0;N/A
Diomedes El Cacique De La Junta;8.1;N/A
El Estilista;N/A;N/A
La Ley Del Corazon;N/A;N/A
Yo Soy Betty La Fea;8.3;N/A
Dolor y Gloria;7.5;4,567,338
How to Train Your Dragon: The Hidden World;7.4;160,945,505
Francisco el matemático;8.1;N/A
Hobbs & Shaw;6.5;173,956,935
El Señor de los Cielos;6.8;N/A
La Doña;7.1;N/A
Los Rodríguez y El Más Allá;4.7;N/A
Enfermeras;8.9;N/A
El Final del Paraíso;5.0;N/A
Pa quererte;8.7;N/A
Despicable Me (2010);7.6;251,557,985
La Voz humana;N/A;N/A
Fast & Furious 9;7.0;238,679,850
Café con aroma de mujer;8.4;N/A
The Boss Baby Family Business;5.9;57,300,280
Parallel Mothers;7.1;2,297,501
La Nieta Elegida;8.6;N/A
El Capo;7.3;N/A
Sing 2;7.4;162,790,990
Te la dedico;N/A;N/A
Pasión de gavilanes;7.8;N/A
Hasta que la plata nos separe;N/A;N/A
Downton Abbey Una nueva era;7.4;44,141,550
Jurassic World Dominion;5.6;376,851,080
Minions The Rise of Gru;6.5;369,695,210
The Black Phone;6.9;90,123,230
Dejémonos de Vargas;N/A;N/A
Leandro Díaz;N/A;N/A
Nope;6.8;123,277,080
Corazones Blindados;6.7;N/A
Halloween Ends;5.0;64,079,860
Puss in Boots The Last Wish;7.8;185,535,345
M3gan;6.4;95,043,350
Knock at the Cabin;6.1;35,397,980
Ana de Nadie;N/A;N/A
Libre de Reír;8.3;N/A
Maktub;7.2;N/A
The Super Mario Bros. Movie;7.1;574,934,330
Um Ano Inesquecível  Verão;N/A;N/A
Um Ano Inesquecível  Outono;N/A;N/A
Um Ano Inesquecível  Inverno;N/A;N/A
Um Ano Inesquecível  Primavera;N/A;N/A
Renfield;6.4;17,152,625
Cocaine Bear;5.9;64,388,510
Fast X;5.8;145,960,660
A Infância de Romeu e Julieta;N/A;N/A
Padre y soldado;5.9;N/A
Las guardianas del planeta;N/A;N/A
La maison;6.1;N/A
Rally Road Racers;5.1;744,169
Jack Ryan;8.0;N/A
Novela;7.6;N/A
Culpa mía;6.2;N/A
Los Iniciados;N/A;N/A
Extraña forma de vida;6.3;486,735
Operación Kandahar;6.0;4,813,132
No Hard Feelings;6.4;50,452,282
La puerta mágica;6.1;N/A
Blondi;6.7;N/A
Cassandro;6.5;N/A
The First Slam Dunk;8.3;1,275,149
Insidious: The Red Door;5.5;82,156,962
Doble discurso;5.8;N/A
Divina Señal;N/A;N/A
The Wheel of Time;7.1;N/A
Vacaciones de Verano;5.0;N/A
Talk to Me;7.2;48,192,329
Oppenheimer;8.5;324,281,160
Tía Alison;N/A;N/A
Gran Turismo;7.2;43,707,368
One Piece;8.9;N/A
Nefarious;6.4;5,433,685
Haunting of the Queen Mary;4.2;N/A
Last Call, Rio!;4.4;N/A
Awareness;5.3;N/A
Iosi el espía arrepentido;7.7;N/A
Sayen: La Ruta Seca;N/A;N/A
Hasta la madre Del día de los muertos;N/A;N/A
Past Lives;8.0;10,923,569
El cuerpo en llamas;6.7;N/A
La oscuridad de La Luz del Mundo;6.9;N/A
The Equalizer 3;6.9;90,851,508
Monstruo;5.3;N/A
Sound of Freedom;7.8;184,072,726
After 5: After Everything;4.6;N/A
The Marsh King's Daughter;N/A;N/A
Saw X;6.7;50,609,863
The Exorcist Believer;5.0;55,865,050
Five Nights at Freddy's;5.5;127,205,300
No lo abras;5.3;4,675,092
Invitación a un Asesinato;5.1;N/A
Pacto De Silencio;6.7;N/A
Los Billis;N/A;N/A
Romancero;N/A;N/A
Trolls Band Together;6.0;N/A
Los Artistas: Primeros Trazos;N/A;N/A
About My Father;5.7;12,089,391
Urban. La vida es nuestra;N/A;N/A
Rabia;6.5;N/A
Angela;N/A;N/A
Harina, El Teniente vs El Cancelador;7.7;N/A
Morangos com Açúcar;N/A;N/A
Memento Mori;N/A;N/A
A Menina que Matou os Pais: A Confissão;N/A;N/A
Pôr do Sol: O Mistério do Colar de São Cajó;7.7;N/A
La que se avecina S14;7.5;N/A
Rigo;N/A;N/A
Golpe a Wall Street;7.0;13,914,514
Cuando Acecha la Maldad;7.2;544,725
Radical;7.9;N/A
Gen V;7.9;N/A
Temporada de huracanes;N/A;N/A
Higuita: El camino del Escorpión;N/A;N/A
The Killer;7.4;N/A
